firstAuthor	accessionId	publicationDate	journal	title	reportedTrait	efoTraits	bgTraits	discoverySampleAncestry	"replicationSampleAncestry"	associationCount	summaryStatistics	ssApiFlag	agreedToCc0	genotypingTechnologies	pubmedId	initialSampleDescription	"replicateSampleDescription"
"Karjalainen MK"	GCST90302052	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Phospholipids to total lipids ratio in medium LDL"	"low density lipoprotein cholesterol measurement,phospholipids:total lipids ratio"	-	"4435 East Asian,11340 South Asian,120241 European"		45	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302052"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
"Karjalainen MK"	GCST90302053	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Triglycerides in medium LDL"	"triglycerides in medium LDL measurement "	-	"4435 East Asian,11340 South Asian,120241 European"		42	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302053"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
"Karjalainen MK"	GCST90302054	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Triglycerides to total lipids ratio in medium LDL"	"triglycerides:total lipids ratio,low density lipoprotein cholesterol measurement"	-	"4435 East Asian,11340 South Asian,120241 European"		23	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302054"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
"Karjalainen MK"	GCST90302055	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Monounsaturated fatty acids (16:1, 18:1) levels"	"fatty acid measurement"	-	"4435 East Asian,11340 South Asian,120241 European"		45	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302055"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
"Karjalainen MK"	GCST90302056	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Ratio of monounsaturated fatty acids to total fatty acids"	"fatty acid measurement"	-	"4435 East Asian,11340 South Asian,120241 European"		26	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302056"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
"Karjalainen MK"	GCST90302057	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Total cholesterol in medium VLDL"	"total cholesterol in medium VLDL"	-	"4435 East Asian,11340 South Asian,120241 European"		48	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302057"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
"Karjalainen MK"	GCST90302058	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Total cholesterol to total lipids ratio in medium VLDL"	"very low density lipoprotein cholesterol measurement,cholesterol:total lipids ratio"	-	"4435 East Asian,11340 South Asian,120241 European"		34	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302058"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
"Karjalainen MK"	GCST90302059	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Cholesterol esters in medium VLDL"	"cholesterol esters in medium VLDL measurement"	-	"4435 East Asian,11340 South Asian,120241 European"		49	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302059"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
"Karjalainen MK"	GCST90302060	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Cholesteryl esters to total lipids ratio in medium VLDL"	"very low density lipoprotein cholesterol measurement,cholesteryl esters:total lipids ratio"	-	"4435 East Asian,11340 South Asian,120241 European"		38	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302060"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
"Karjalainen MK"	GCST90302061	2024-03-06	Nature	"Genome-wide characterization of circulating metabolic biomarkers."	"Free cholesterol in medium VLDL"	"free cholesterol in medium VLDL measurement "	-	"4435 East Asian,11340 South Asian,120241 European"		46	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90302001-GCST90303000/GCST90302061"	no	yes	"Genome-wide genotyping array,Genome-wide sequencing"	38448586	"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals"	NA
