firstAuthor,accessionId,publicationDate,journal,title,reportedTrait,efoTraits,bgTraits,discoverySampleAncestry,replicationSampleAncestry,associationCount,summaryStatistics,ssApiFlag,agreedToCc0,genotypingTechnologies,pubmedId,initialSampleDescription,replicateSampleDescription
Karjalainen MK,GCST90301941,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Acetate levels,acetate measurement,-,"4435 East Asian,11340 South Asian,120241 European",,7,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301941,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals",NA
Karjalainen MK,GCST90301942,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Acetone levels,acetone measurement,-,"4435 East Asian,11340 South Asian,114536 European",,10,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301942,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,114,536 European ancestry individuals",NA
Karjalainen MK,GCST90301943,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Alanine levels,alanine measurement,-,"4435 East Asian,11340 South Asian,120241 European",,33,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301943,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals",NA
Karjalainen MK,GCST90301944,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Albumin levels,serum albumin measurement,-,"4435 East Asian,11340 South Asian,120241 European",,11,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301944,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals",NA
Karjalainen MK,GCST90301945,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Apolipoprotein A-I levels,apolipoprotein A 1 measurement,-,"4435 East Asian,11340 South Asian,120241 European",,48,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301945,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals",NA
Karjalainen MK,GCST90301946,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Apolipoprotein B levels,apolipoprotein B measurement,-,"4435 East Asian,11340 South Asian,120241 European",,56,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301946,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals",NA
Karjalainen MK,GCST90301947,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Ratio of apolipoprotein B to apolipoprotein A1 levels,"apolipoprotein A 1 measurement,apolipoprotein B measurement",-,"4435 East Asian,11340 South Asian,120241 European",,59,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301947,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals",NA
Karjalainen MK,GCST90301948,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,3-Hydroxybutyrate levels,3-hydroxybutyrate measurement,-,"11340 South Asian,72076 European",,9,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301948,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"11,340 South Asian ancestry individuals,72,076 European ancestry individuals",NA
Karjalainen MK,GCST90301949,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Citrate levels,citrate measurement,-,"11340 South Asian,72076 European",,11,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301949,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"11,340 South Asian ancestry individuals,72,076 European ancestry individuals",NA
Karjalainen MK,GCST90301950,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Conjugated linoleic acid,linoleic acid measurement,-,70413 European,,9,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301950,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"70,413 Non-Finnish European ancestry individuals",NA
Karjalainen MK,GCST90301951,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Ratio of conjugated linoleic acid to total fatty acids,"fatty acid measurement,linoleic acid measurement",-,70413 European,,2,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301951,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"70,413 Non-Finnish European ancestry individuals",NA
Karjalainen MK,GCST90301952,2024-03-06,Nature,Genome-wide characterization of circulating metabolic biomarkers.,Creatinine levels,creatinine measurement,-,"4435 East Asian,11340 South Asian,120241 European",,49,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301952,no,yes,"Genome-wide genotyping array,Genome-wide sequencing",38448586,"4,435 East Asian ancestry individuals,11,340 South Asian ancestry individuals,120,241 European ancestry individuals",NA
